_id,authors[0],authors[1],authors[2],authors[3],authors[4],authors[5],authors[6],authors[7],authors[8],authors[9],authors[10]
5f0c7ea20c2b923303bd203c,7074585794886776,22850500618628944,579933251869291,11350022539553216,5703995672678985,4941491924034871,931921580120312,,,,
5f281a3ab409ac38b5289cb2,931921580120312,11350022539553216,23473105754475256,29901060748384368,6987779857377552,,,,,,
5f281a88b409ac1ade289cb8,931921580120312,,,,,,,,,,
5f281c8ab409acce9d289cc5,931921580120312,9582835743540504,29901060748384368,6987779857377552,,,,,,,
5f281cc4b409accbd2289cca,931921580120312,,,,,,,,,,
5f284ebdf03bb830b120f54c,5785134142012602,11350022539553216,29901060748384368,6987779857377552,,,,,,,
5f32a6a63b1d85ec0fe97be8,1636225498764312,18647111840072172,16052574705793288,,,,,,,,
5f32a6e03b1d8510bae97bed,8886082758064493,,,,,,,,,,
5f32a71f3b1d858383e97bf2,38057372615513784,5083541653669739,9705072639759304,5859638836423471,6134932423501134,,,,,,
5f32a78d3b1d854a6ae97bf7,4819572610828424,7074585794886776,22850500618628944,7598708834322396,6413375562360635,863018201621319,6099434100748651,,,,
5f32a7b33b1d852487e97bfc,7074585794886776,7915680989200271,22850500618628944,2249779669912555,,,,,,,
5f32a7d53b1d85c427e97c01,29792050592741704,7074585794886776,6545332055051722,22850500618628944,4774213031725689,30887149231961076,,,,,
5f32a83e3b1d85425ae97c06,8110282498195183,22850500618628944,6545332055051722,10371509588157112,9221184842798842,,,,,,
5f46937c6ea096667fdc7687,5785134142012602,11350022539553216,706752380358675,798436185135597,22850500618628944,579933251869291,1636225498764312,334000804668509,,,
5f733e0e352f740200e284f0,4442271343443529,5703995672678985,22850500618628944,3385614250541269,,,,,,,
5f8dca1e8b4a78788166e558,3433146264650193,,,,,,,,,,
5f900ab69d1dec537d57e2fc,6473490892875664,,,,,,,,,,
5fa19dd9ce6e03625e344b3b,5703995672678985,648217426752502,,,,,,,,,
5fa1a0c7ea8c9619608caa13,798436185135597,5703995672678985,26856099669701792,651337008279369,6294413331572171,,,,,,
5fad546c8c45bd48e368046b,46430290549419608,6987779857377552,29901060748384368,,,,,,,,
5fb62c186f3f97bc1e2d9284,40930894256863624,6522778556424882,8993860512565024,6754869437635602,9310138166486540,16962029296444104,,,,,
5fb692883936f24f2a7fc2d8,5703995672678985,,,,,,,,,,
